codigo_datasus;codigo_cid10;descricao
F197;F19.7;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - transtorno psicótico residual ou de instalação tardia
F198;F19.8;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - outros transtornos mentais ou comportamentais
F199;F19.9;Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - transtorno mental ou comportamental não especificado
F200;F20.0;Esquizofrenia paranóide
F201;F20.1;Esquizofrenia hebefrênica
F202;F20.2;Esquizofrenia catatônica
F203;F20.3;Esquizofrenia indiferenciada
F204;F20.4;Depressão pós-esquizofrênica
F205;F20.5;Esquizofrenia residual
F206;F20.6;Esquizofrenia simples
F208;F20.8;Outras esquizofrenias
F209;F20.9;Esquizofrenia não especificada
F21;F21;Transtorno esquizotípico
F220;F22.0;Transtorno delirante
F228;F22.8;Outros transtornos delirantes persistentes
F229;F22.9;Transtorno delirante persistente não especificado
F230;F23.0;Transtorno psicótico agudo polimorfo, sem sintomas esquizofrênicos
F231;F23.1;Transtorno psicótico agudo polimorfo, com sintomas esquizofrênicos
F232;F23.2;Transtorno psicótico agudo de tipo esquizofrênico (schizophrenia-like)
F233;F23.3;Outros transtornos psicóticos agudos, essencialmente delirantes
F238;F23.8;Outros transtornos psicóticos agudos e transitórios
F239;F23.9;Transtorno psicótico agudo e transitório não especificado
F24;F24;Transtorno delirante induzido
F250;F25.0;Transtorno esquizoafetivo do tipo maníaco
F251;F25.1;Transtorno esquizoafetivo do tipo depressivo
F252;F25.2;Transtorno esquizoafetivo do tipo misto
F258;F25.8;Outros transtornos esquizoafetivos
F259;F25.9;Transtorno esquizoafetivo não especificado
F28;F28;Outros transtornos psicóticos não-orgânicos
F29;F29;Psicose não-orgânica não especificada
F300;F30.0;Hipomania
F301;F30.1;Mania sem sintomas psicóticos
F302;F30.2;Mania com sintomas psicóticos
F308;F30.8;Outros episódios maníacos
F309;F30.9;Episódio maníaco não especificado
F310;F31.0;Transtorno afetivo bipolar, episódio atual hipomaníaco
F311;F31.1;Transtorno afetivo bipolar, episódio atual maníaco sem sintomas psicóticos
F312;F31.2;Transtorno afetivo bipolar, episódio atual maníaco com sintomas psicóticos
F313;F31.3;Transtorno afetivo bipolar, episódio atual depressivo leve ou moderado
F314;F31.4;Transtorno afetivo bipolar, episódio atual depressivo grave sem sintomas psicóticos
F315;F31.5;Transtorno afetivo bipolar, episódio atual depressivo grave com sintomas psicóticos
F316;F31.6;Transtorno afetivo bipolar, episódio atual misto
F317;F31.7;Transtorno afetivo bipolar, atualmente em remissão
F318;F31.8;Outros transtornos afetivos bipolares
F319;F31.9;Transtorno afetivo bipolar não especificado
F320;F32.0;Episódio depressivo leve
F321;F32.1;Episódio depressivo moderado
F322;F32.2;Episódio depressivo grave sem sintomas psicóticos
F323;F32.3;Episódio depressivo grave com sintomas psicóticos
F328;F32.8;Outros episódios depressivos
F329;F32.9;Episódio depressivo não especificado
F330;F33.0;Transtorno depressivo recorrente, episódio atual leve
F331;F33.1;Transtorno depressivo recorrente, episódio atual moderado
F332;F33.2;Transtorno depressivo recorrente, episódio atual grave sem sintomas psicóticos
F333;F33.3;Transtorno depressivo recorrente, episódio atual grave com sintomas psicóticos
F334;F33.4;Transtorno depressivo recorrente, atualmente em remissão
F338;F33.8;Outros transtornos depressivos recorrentes
F339;F33.9;Transtorno depressivo recorrente sem especificação
F340;F34.0;Ciclotimia
F341;F34.1;Distimia
F348;F34.8;Outros transtornos do humor [afetivos] persistentes
F349;F34.9;Transtorno do humor [afetivo] persistente não especificado
F380;F38.0;Outros transtornos do humor [afetivos] isolados
F381;F38.1;Outros transtornos do humor [afetivos] recorrentes
F388;F38.8;Outros transtornos especificados do humor [afetivos]
F39;F39;Transtorno do humor [afetivo] não especificado
F400;F40.0;Agorafobia
F401;F40.1;Fobias sociais
F402;F40.2;Fobias específicas (isoladas)
F408;F40.8;Outros transtornos fóbico-ansiosos
F409;F40.9;Transtorno fóbico-ansioso não especificado
F410;F41.0;Transtorno de pânico [ansiedade paroxística episódica]
F411;F41.1;Ansiedade generalizada
F412;F41.2;Transtorno misto ansioso e depressivo
F413;F41.3;Outros transtornos ansiosos mistos
F418;F41.8;Outros transtornos ansiosos especificados
F419;F41.9;Transtorno ansioso não especificado
F420;F42.0;Transtorno obsessivo-compulsivo com predominância de idéias ou de ruminações obsessivas
F421;F42.1;Transtorno obsessivo-compulsivo com predominância de comportamentos compulsivos [rituais obsessivos]
F422;F42.2;Transtorno obsessivo-compulsivo, forma mista, com idéias obsessivas e comportamentos compulsivos
F428;F42.8;Outros transtornos obsessivo-compulsivos
F429;F42.9;Transtorno obsessivo-compulsivo não especificado
F430;F43.0;"Reação aguda ao ""stress"""
F431;F43.1;"Estado de ""stress"" pós-traumático"
F432;F43.2;Transtornos de adaptação
F438;F43.8;"Outras reações ao ""stress"" grave"
F439;F43.9;"Reação não especificada a um ""stress"" grave"
F440;F44.0;Amnésia dissociativa
F441;F44.1;Fuga dissociativa
F442;F44.2;Estupor dissociativo
F443;F44.3;Estados de transe e de possessão
F444;F44.4;Transtornos dissociativos do movimento
F445;F44.5;Convulsões dissociativas
F446;F44.6;Anestesia e perda sensorial dissociativas
F447;F44.7;Transtorno dissociativo misto [de conversão]
F448;F44.8;Outros transtornos dissociativos [de conversão]
F449;F44.9;Transtorno dissociativo [de conversão] não especificado
F450;F45.0;Transtorno de somatização
F451;F45.1;Transtorno somatoforme indiferenciado
F452;F45.2;Transtorno hipocondríaco
F453;F45.3;Transtorno neurovegetativo somatoforme
F454;F45.4;Transtorno doloroso somatoforme persistente
F458;F45.8;Outros transtornos somatoformes
F459;F45.9;Transtorno somatoforme não especificado
F480;F48.0;Neurastenia
F481;F48.1;Síndrome de despersonalização-desrealização
F488;F48.8;Outros transtornos neuróticos especificados
F489;F48.9;Transtorno neurótico não especificado
F500;F50.0;Anorexia nervosa
F501;F50.1;Anorexia nervosa atípica
F502;F50.2;Bulimia nervosa
F503;F50.3;Bulimia nervosa atípica
F504;F50.4;Hiperfagia associada a outros distúrbios psicológicos
F505;F50.5;Vômitos associados a outros distúrbios psicológicos
F508;F50.8;Outros transtornos da alimentação
F509;F50.9;Transtorno de alimentação não especificado
F510;F51.0;Insônia não-orgânica
F511;F51.1;Hipersonia não-orgânica
F512;F51.2;Transtorno do ciclo vigília-sono devido a fatores não-orgânicos
F513;F51.3;Sonambulismo
F514;F51.4;Terrores noturnos
F515;F51.5;Pesadelos
F518;F51.8;Outros transtornos do sono devidos a fatores não-orgânicos
F519;F51.9;Transtorno do sono devido a fatores não-orgânicos não especificados
F520;F52.0;Ausência ou perda do desejo sexual
F521;F52.1;Aversão sexual e ausência de prazer sexual
F522;F52.2;Falha de resposta genital
F523;F52.3;Disfunção orgásmica
F524;F52.4;Ejaculação precoce
F525;F52.5;Vaginismo não-orgânico
F526;F52.6;Dispareunia não-orgânica
F527;F52.7;Apetite sexual excessivo
F528;F52.8;Outras disfunções sexuais não devidas a transtorno ou à doença orgânica
F529;F52.9;Disfunção sexual não devida a transtorno ou à doença orgânica, não especificada
F530;F53.0;Transtornos mentais e comportamentais leves associados ao puerpério não classificados em outra parte
F531;F53.1;Transtornos mentais e comportamentais graves associados ao puerpério não classificados em outra parte
F538;F53.8;Outros transtornos mentais e comportamentais associados ao puerpério não classificados em outra parte
F539;F53.9;Transtorno mental e comportamental associado ao puerpério, não especificado
F54;F54;Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte
F55;F55;Abuso de substâncias que não produzem dependência
F59;F59;Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas
F600;F60.0;Personalidade paranóica
F601;F60.1;Personalidade esquizóide
F602;F60.2;Personalidade dissocial
F603;F60.3;Transtorno de personalidade com instabilidade emocional
F604;F60.4;Personalidade histriônica
F605;F60.5;Personalidade anancástica
F606;F60.6;Personalidade ansiosa [esquiva]
F607;F60.7;Personalidade dependente
F608;F60.8;Outros transtornos específicos da personalidade
F609;F60.9;Transtorno não especificado da personalidade
F61;F61;Transtornos mistos da personalidade e outros transtornos da personalidade
F620;F62.0;Modificação duradoura da personalidade após uma experiência catastrófica
F621;F62.1;Modificação duradoura da personalidade após doença psiquiátrica
F628;F62.8;Outras modificações duradouras da personalidade
F629;F62.9;Modificação duradoura da personalidade, não especificada
F630;F63.0;Jogo patológico
F631;F63.1;Piromania
F632;F63.2;Roubo patológico [cleptomania]
F633;F63.3;Tricotilomania
F638;F63.8;Outros transtornos dos hábitos e dos impulsos
F639;F63.9;Transtorno dos hábitos e impulsos, não especificado
F640;F64.0;Transexualismo
F641;F64.1;Travestismo bivalente
F642;F64.2;Transtorno de identidade sexual na infância
F648;F64.8;Outros transtornos da identidade sexual
F649;F64.9;Transtorno não especificado da identidade sexual
F650;F65.0;Fetichismo
F651;F65.1;Travestismo fetichista
F652;F65.2;Exibicionismo
F653;F65.3;Voyeurismo
F654;F65.4;Pedofilia
F655;F65.5;Sadomasoquismo
F656;F65.6;Transtornos múltiplos da preferência sexual
F658;F65.8;Outros transtornos da preferência sexual
F659;F65.9;Transtorno da preferência sexual, não especificado
F660;F66.0;Transtorno da maturação sexual
F661;F66.1;Orientação sexual egodistônica
F662;F66.2;Transtorno do relacionamento sexual
F668;F66.8;Outros transtornos do desenvolvimento psicossexual
F669;F66.9;Transtorno do desenvolvimento sexual, não especificado
F680;F68.0;Sintomas físicos aumentados por fatores psicológicos
F681;F68.1;Produção deliberada ou simulação de sintomas ou de incapacidades, físicas ou psicológicas [transtorno fictício]
F688;F68.8;Outros transtornos especificados da personalidade e do comportamento do adulto
F69;F69;Transtorno da personalidade e do comportamento do adulto, não especificado
F700;F70.0;Retardo mental leve - menção de ausência de ou de comprometimento mínimo do comportamento
F701;F70.1;Retardo mental leve - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
F708;F70.8;Retardo mental leve - outros comprometimentos do comportamento
F709;F70.9;Retardo mental leve - sem menção de comprometimento do comportamento
F710;F71.0;Retardo mental moderado - menção de ausência de ou de comprometimento mínimo do comportamento
F711;F71.1;Retardo mental moderado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
F718;F71.8;Retardo mental moderado - outros comprometimentos do comportamento
F719;F71.9;Retardo mental moderado - sem menção de comprometimento do comportamento
F720;F72.0;Retardo mental grave - menção de ausência de ou de comprometimento mínimo do comportamento
F721;F72.1;Retardo mental grave - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
F728;F72.8;Retardo mental grave - outros comprometimentos do comportamento
F729;F72.9;Retardo mental grave - sem menção de comprometimento do comportamento
F730;F73.0;Retardo mental profundo - menção de ausência de ou de comprometimento mínimo do comportamento
F731;F73.1;Retardo mental profundo - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
F738;F73.8;Retardo mental profundo - outros comprometimentos do comportamento
F739;F73.9;Retardo mental profundo - sem menção de comprometimento do comportamento
F780;F78.0;Outro retardo mental - menção de ausência de ou de comprometimento mínimo do comportamento
F781;F78.1;Outro retardo mental - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
F788;F78.8;Outro retardo mental - outros comprometimentos do comportamento
F789;F78.9;Outro retardo mental - sem menção de comprometimento do comportamento
F790;F79.0;Retardo mental não especificado - menção de ausência de ou de comprometimento mínimo do comportamento
F791;F79.1;Retardo mental não especificado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
F798;F79.8;Retardo mental não especificado - outros comprometimentos do comportamento
F799;F79.9;Retardo mental não especificado - sem menção de comprometimento do comportamento
F800;F80.0;Transtorno específico da articulação da fala
F801;F80.1;Transtorno expressivo de linguagem
F802;F80.2;Transtorno receptivo da linguagem
F803;F80.3;Afasia adquirida com epilepsia [síndrome de Landau-Kleffner]
F808;F80.8;Outros transtornos de desenvolvimento da fala ou da linguagem
F809;F80.9;Transtorno não especificado do desenvolvimento da fala ou da linguagem
F810;F81.0;Transtorno específico de leitura
F811;F81.1;Transtorno específico da soletração
F812;F81.2;Transtorno específico da habilidade em aritmética
F813;F81.3;Transtorno misto de habilidades escolares
F818;F81.8;Outros transtornos do desenvolvimento das habilidades escolares
F819;F81.9;Transtorno não especificado do desenvolvimento das habilidades escolares
F82;F82;Transtorno específico do desenvolvimento motor
F83;F83;Transtornos específicos misto do desenvolvimento
F840;F84.0;Autismo infantil
F841;F84.1;Autismo atípico
F842;F84.2;Síndrome de Rett
F843;F84.3;Outro transtorno desintegrativo da infância
F844;F84.4;Transtorno com hipercinesia associada a retardo mental e a movimentos estereotipados
F845;F84.5;Síndrome de Asperger
F848;F84.8;Outros transtornos globais do desenvolvimento
F849;F84.9;Transtornos globais não especificados do desenvolvimento
F88;F88;Outros transtornos do desenvolvimento psicológico
F89;F89;Transtorno do desenvolvimento psicológico não especificado
F900;F90.0;Distúrbios da atividade e da atenção
F901;F90.1;Transtorno hipercinético de conduta
F908;F90.8;Outros transtornos hipercinéticos
F909;F90.9;Transtorno hipercinético não especificado
F910;F91.0;Distúrbio de conduta restrito ao contexto familiar
F911;F91.1;Distúrbio de conduta não-socializado
F912;F91.2;Distúrbio de conduta do tipo socializado
F913;F91.3;Distúrbio desafiador e de oposição
F918;F91.8;Outros transtornos de conduta
F919;F91.9;Transtorno de conduta não especificado
F920;F92.0;Distúrbio depressivo de conduta
F928;F92.8;Outros transtornos mistos da conduta e das emoções
F929;F92.9;Transtorno misto da conduta e das emoções não especificado
F930;F93.0;Transtorno ligado à angústia de separação
F931;F93.1;Transtorno fóbico ansioso da infância
F932;F93.2;Distúrbio de ansiedade social da infância
F933;F93.3;Transtorno de rivalidade entre irmãos
F938;F93.8;Outros transtornos emocionais da infância
F939;F93.9;Transtorno emocional da infância não especificado
F940;F94.0;Mutismo eletivo
F941;F94.1;Distúrbio reativo de vinculação da infância
F942;F94.2;Transtorno de fixação da infância, com desinibição
F948;F94.8;Outros transtornos do funcionamento social na infância
F949;F94.9;Transtorno do funcionamento social da infância não especificado
F950;F95.0;Tique transitório
F951;F95.1;Tique motor ou vocal crônico
F952;F95.2;Tiques vocais e motores múltiplos combinados [doença de Gilles de la Tourette]
F958;F95.8;Outros tiques
F959;F95.9;Tique não especificado
F980;F98.0;Enurese de origem não-orgânica
F981;F98.1;Encoprese de origem não-orgânica
F982;F98.2;Transtorno de alimentação na infância
F983;F98.3;Pica do lactente ou da criança
F984;F98.4;Estereotipias motoras
F985;F98.5;Gagueira [tartamudez]
F986;F98.6;Linguagem precipitada
F988;F98.8;Outros transtornos comportamentais e emocionais especificados com início habitualmente na infância ou adolescência
F989;F98.9;Transtornos comportamentais e emocionais não especificados com início habitualmente na infância ou adolescência
F99;F99;Transtorno mental não especificado em outra parte
G000;G00.0;Meningite por Haemophilus
G001;G00.1;Meningite pneumocócica
G002;G00.2;Meningite estreptocócica
G003;G00.3;Meningite estafilocócica
G008;G00.8;Outras meningites bacterianas
G009;G00.9;Meningite bacteriana não especificada
G01;G01;Meningite em doenças bacterianas classificadas em outra parte
G020;G02.0;Meningite em doenças virais classificadas em outra parte
G021;G02.1;Meningite em micoses
G028;G02.8;Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte
G030;G03.0;Meningite não-piogênica
G031;G03.1;Meningite crônica
G032;G03.2;Meningite recorrente benigna [Mollaret]
G038;G03.8;Meningite devida a outras causas especificadas
G039;G03.9;Meningite não especificada
G040;G04.0;Encefalite aguda disseminada
G041;G04.1;Paraplegia espástica tropical
G042;G04.2;Meningoencefalite e meningomielite bacterianas não classificadas em outra parte
G048;G04.8;Outras encefalites, mielites e encefalomielites
G049;G04.9;Encefalite, mielite e encefalomielite não especificada
G050;G05.0;Encefalite, mielite e encefalomielite em doenças bacterianas classificadas em outra parte
G051;G05.1;Encefalite, mielite e encefalomielite em doenças virais classificadas em outra parte
G052;G05.2;Encefalite, mielite e encefalomielite em outras doenças infecciosas e parasitárias classificadas em outra parte
G058;G05.8;Encefalite, mielite e encefalomielite em outras doenças classificadas em outra parte
G060;G06.0;Abscesso e granuloma intracranianos
G061;G06.1;Abscesso e granuloma intra-raquidianos
G062;G06.2;Abscesso extradural e subdural não especificados
G07;G07;Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte
G08;G08;Flebite e tromboflebite intracranianas e intra-raquidianas
G09;G09;Seqüelas de doenças inflamatórias do sistema nervoso central
G10;G10;Doença de Huntington
G110;G11.0;Ataxia congênita não-progressiva
G111;G11.1;Ataxia cerebelar de início precoce
G112;G11.2;Ataxia cerebelar de início tardio
G113;G11.3;Ataxia cerebelar com déficit na reparação do DNA
G114;G11.4;Paraplegia espástica hereditária
G118;G11.8;Outras ataxias hereditárias
G119;G11.9;Ataxia hereditária não especificada
G120;G12.0;Atrofia muscular espinal infantil tipo I [Werdnig-Hoffman]
G121;G12.1;Outras atrofias musculares espinais hereditárias
G122;G12.2;Doença do neurônio motor
G128;G12.8;Outras atrofias musculares espinais e síndromes musculares correlatas
G129;G12.9;Atrofia muscular espinal não especificada
G130;G13.0;Neuromiopatia e neuropatia paraneoplásicas
G131;G13.1;Outra atrofia sistêmica que afeta primariamente o sistema nervoso central em doenças neoplásicas
G132;G13.2;Atrofia sistêmica que afeta primariamente o sistema nervoso central no mixedema
G138;G13.8;Atrofia sistêmica que afeta primariamente o sistema nervoso central em outras doenças classificadas em outra parte
G20;G20;Doença de Parkinson
G210;G21.0;Síndrome maligna dos neurolépticos
G211;G21.1;Outras formas de parkinsonismo secundário induzido por drogas
G212;G21.2;Parkinsonismo secundário devido a outros agentes externos
G213;G21.3;Parkinsonismo pós-encefalítico
G218;G21.8;Outras formas de parkinsonismo secundário
G219;G21.9;Parkinsonismo secundário não especificado
G22;G22;Parkinsonismo em doenças classificadas em outra parte
G230;G23.0;Doença de Hallervorden-Spatz
G231;G23.1;Oftalmoplegia supranuclear progressiva [Steele-Richardson-Olszewski]
G232;G23.2;Degeneração estrionígrica
G238;G23.8;Outras doenças degenerativas especificadas dos gânglios da base
G239;G23.9;Doença degenerativa dos gânglios da base, não especificada
G240;G24.0;Distonia induzida por drogas
G241;G24.1;Distonia familiar idiopática
G242;G24.2;Distonia não-familiar idiopática
G243;G24.3;Torcicolo espasmódico
G244;G24.4;Distonia orofacial idiopática
G245;G24.5;Blefaroespasmo
G248;G24.8;Outras distonias
G249;G24.9;Distonia não especificada
G250;G25.0;Tremor essencial
G251;G25.1;Tremor induzido por drogas
G252;G25.2;Outras formas especificadas de tremor
G253;G25.3;Mioclonia
G254;G25.4;Coréia induzida por droga
G255;G25.5;Outras formas de coréia
G256;G25.6;Tiques induzidos por droga e outros tipos de origem orgânica
G258;G25.8;Outras doenças extrapiramidais e transtornos dos movimentos, especificados
G259;G25.9;Doenças extrapiramidais e transtornos dos movimentos, não especificados
G26;G26;Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte
G300;G30.0;Doença de Alzheimer de início precoce
G301;G30.1;Doença de Alzheimer de início tardio
G308;G30.8;Outras formas de doença de Alzheimer
G309;G30.9;Doença de Alzheimer não especificada
G310;G31.0;Atrofia cerebral circunscrita
G311;G31.1;Degeneração cerebral senil, não classificadas em outra parte
G312;G31.2;Degeneração do sistema nervoso devida ao álcool
G318;G31.8;Outras doenças degenerativas especificadas do sistema nervoso
G319;G31.9;Doença degenerativa do sistema nervoso, não especificada
G320;G32.0;Degeneração combinada subaguda da medula espinal em doenças classificadas em outra parte
G328;G32.8;Outros transtornos degenerativos especificados do sistema nervoso em doenças classificadas em outra parte
G35;G35;Esclerose múltipla
G360;G36.0;Neuromielite óptica [doença de Devic]
G361;G36.1;Leucoencefalite hemorrágica aguda e subaguda [Hurst]
G368;G36.8;Outras desmielinizações disseminadas agudas especificadas
G369;G36.9;Desmielinização disseminada aguda não especificada
G370;G37.0;Esclerose difusa
G371;G37.1;Desmielinização central do corpo caloso
G372;G37.2;Mielinólise central da ponte
G373;G37.3;Mielite transversa aguda em doenças desmielinizantes do sistema nervoso central
G374;G37.4;Mielite subaguda necrótica
G375;G37.5;Esclerose concêntrica [Baló]
G378;G37.8;Outras doenças desmielinizantes especificadas do sistema nervoso central
G379;G37.9;Doença desmielinizante do sistema nervoso central, não especificada
G400;G40.0;Epilepsia e síndromes epilépticas idiopáticas definidas por sua localização (focal) (parcial) com crises de início focal
G401;G40.1;Epilepsia e síndromes epilépticas sintomáticas definidas por sua localização (focal) (parcial) com crises parciais simples
G402;G40.2;Epilepsia e síndromes epilépticas sintomáticas definidas por sua localização (focal) (parcial) com crises parciais complexas
G403;G40.3;Epilepsia e síndromes epilépticas generalizadas idiopáticas
G404;G40.4;Outras epilepsias e síndromes epilépticas generalizadas
G405;G40.5;Síndromes epilépticas especiais
G406;G40.6;Crise de grande mal, não especificada (com ou sem pequeno mal)
G407;G40.7;Pequeno mal não especificado, sem crises de grande mal
G408;G40.8;Outras epilepsias
G409;G40.9;Epilepsia, não especificada
G410;G41.0;Estado de grande mal epiléptico
G411;G41.1;Estado de pequeno mal epiléptico
G412;G41.2;Estado de mal epiléptico parcial complexo
G418;G41.8;Outros estados de mal epiléptico
G419;G41.9;Estado de mal epiléptico, não especificado
G430;G43.0;Enxaqueca sem aura [enxaqueca comum]
G431;G43.1;Enxaqueca com aura [enxaqueca clássica]
G432;G43.2;Estado de mal enxaquecoso
G433;G43.3;Enxaqueca complicada
G438;G43.8;Outras formas de enxaqueca
G439;G43.9;Enxaqueca, sem especificação
G440;G44.0;"Síndrome de ""cluster-headache"""
G441;G44.1;Cefaléia vascular, não classificada em outra parte
G442;G44.2;Cefaléia tensional
G443;G44.3;Cefaléia crônica pós-traumática
G444;G44.4;Cefaléia induzida por drogas, não classificada em outra parte
G448;G44.8;Outras síndromes de cefaléia especificadas
G450;G45.0;Síndrome da artéria vértebro-basilar
G451;G45.1;Síndrome da artéria carotídea (hemisférica)
G452;G45.2;Síndrome das artérias pré-cerebrais, múltiplas e bilaterais
G453;G45.3;Amaurose fugaz
G454;G45.4;Amnésia global transitória
G458;G45.8;Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas
G459;G45.9;Isquemia cerebral transitória não especificada
G460;G46.0;Síndrome da artéria cerebral média
G461;G46.1;Síndrome da artéria cerebral anterior
G462;G46.2;Síndrome da artéria cerebral posterior
G463;G46.3;Síndromes vasculares do tronco cerebral
G464;G46.4;Síndrome vascular cerebelar
G465;G46.5;Síndrome lacunar motora pura
G466;G46.6;Síndrome lacunar sensorial pura
G467;G46.7;Outras síndromes lacunares
G468;G46.8;Outras síndromes vasculares cerebrais em doenças cerebrovasculares
G470;G47.0;Distúrbios do início e da manutenção do sono [insônias]
G471;G47.1;Distúrbios do sono por sonolência excessiva [hipersonia]
G472;G47.2;Distúrbios do ciclo vigília-sono
G473;G47.3;Apnéia de sono
G474;G47.4;Narcolepsia e cataplexia
G478;G47.8;Outros distúrbios do sono
G479;G47.9;Distúrbio do sono, não especificado
G500;G50.0;Nevralgia do trigêmeo
G501;G50.1;Dor facial atípica
G508;G50.8;Outros transtornos do nervo trigêmeo
G509;G50.9;Transtorno não especificado do nervo trigêmeo
G510;G51.0;Paralisia de Bell
G511;G51.1;Ganglionite geniculada
G512;G51.2;Síndrome de Melkersson
G513;G51.3;Espasmo hemifacial clônico
G514;G51.4;Mioquimia facial
G518;G51.8;Outros transtornos do nervo facial
G519;G51.9;Transtorno não especificado do nervo facial
G520;G52.0;Transtornos do nervo olfatório
G521;G52.1;Transtornos do nervo glossofaríngeo
G522;G52.2;Transtornos do nervo vago
G523;G52.3;Transtornos do nervo hipoglosso
G527;G52.7;Transtornos de múltiplos nervos cranianos
G528;G52.8;Transtornos de outros nervos cranianos especificados
G529;G52.9;Transtorno de nervo craniano não especificado
G530;G53.0;Nevralgia pós-zoster
G531;G53.1;Paralisias de múltiplos nervos cranianos em doenças infecciosas e parasitárias classificadas em outra parte
G532;G53.2;Paralisias de múltiplos nervos cranianos na sarcoidose
G533;G53.3;Paralisias de múltiplos nervos cranianos em doenças neoplásicas
G538;G53.8;Outros transtornos de nervos cranianos em outras doenças classificadas em outra parte
G540;G54.0;Transtornos do plexo braquial
G541;G54.1;Transtornos do plexo lombossacral
G542;G54.2;Transtornos das raízes cervicais não classificadas em outra parte
G543;G54.3;Transtornos das raízes torácicas não classificadas em outra parte
G544;G54.4;Transtornos das raízes lombossacras não classificadas em outra parte
G545;G54.5;Amiotrofia nevrálgica
G546;G54.6;Síndrome dolorosa do membro fantasma
G547;G54.7;Síndrome do membro fantasma sem manifestação dolorosa
G548;G54.8;Outros transtornos das raízes e dos plexos nervosos
G549;G54.9;Transtorno não especificado das raízes e dos plexos nervosos
G550;G55.0;Compressões das raízes e dos plexos nervosos em doenças neoplásicas
G551;G55.1;Compressões das raízes e dos plexos nervosos em transtornos dos discos intervertebrais
G552;G55.2;Compressões das raízes e dos plexos nervosos na espondilose
G553;G55.3;Compressões das raízes e dos plexos nervosos em outras dorsopatias
G558;G55.8;Compressões das raízes e dos plexos nervosos em outras doenças classificadas em outra parte
G560;G56.0;Síndrome do túnel do carpo
G561;G56.1;Outras lesões do nervo mediano
G562;G56.2;Lesões do nervo cubital [ulnar]
G563;G56.3;Lesão do nervo radial
G564;G56.4;Causalgia
G568;G56.8;Outras mononeuropatias dos membros superiores
G569;G56.9;Mononeuropatia dos membros superiores, não especificada
G570;G57.0;Lesão do nervo ciático
G571;G57.1;Meralgia parestésica
G572;G57.2;Lesão do nervo femoral
G573;G57.3;Lesão do nervo poplíteo lateral
G574;G57.4;Lesão do nervo poplíteo medial
G575;G57.5;Síndrome do túnel do tarso
G576;G57.6;Lesão do nervo plantar
G578;G57.8;Outras mononeuropatias dos membros inferiores
G579;G57.9;Mononeuropatia dos membros inferiores, não especificada
G580;G58.0;Neuropatia intercostal
G587;G58.7;Mononeurite múltipla
G588;G58.8;Outras mononeuropatias especificadas
G589;G58.9;Mononeuropatia não especificada
G590;G59.0;Mononeuropatia diabética
G598;G59.8;Outras mononeuropatias em doenças classificadas em outra parte
G600;G60.0;Neuropatia hereditária motora e sensorial
G601;G60.1;Doença de Refsum
G602;G60.2;Neuropatia associada a ataxia hereditária
G603;G60.3;Neuropatia progressiva idiopática
G608;G60.8;Outras neuropatias hereditárias e idiopáticas
G609;G60.9;Neuropatia hereditária e idiopática não especificada
G610;G61.0;Síndrome de Guillain-Barré
G611;G61.1;Neuropatia sérica
G618;G61.8;Outras polineuropatias inflamatórias
G619;G61.9;Polineuropatia inflamatória não especificada
G620;G62.0;Polineuropatia induzida por drogas
G621;G62.1;Polineuropatia alcoólica
G622;G62.2;Polineuropatia devida a outros agentes tóxicos
G628;G62.8;Outras polineuropatias especificadas
G629;G62.9;Polineuropatia não especificada
G630;G63.0;Polineuropatia em doenças infecciosas e parasitárias classificadas em outra parte
G631;G63.1;Polineuropatia em doenças neoplásicas
G632;G63.2;Polineuropatia diabética
G633;G63.3;Polineuropatia em outras doenças endócrinas e metabólicas
G634;G63.4;Polineuropatia em deficiências nutricionais
G635;G63.5;Polineuropatia em doenças sistêmicas do tecido conjuntivo
G636;G63.6;Polineuropatia em outros transtornos osteomusculares
G638;G63.8;Polineuropatia em outras doenças classificadas em outra parte
G64;G64;Outros transtornos do sistema nervoso periférico
G700;G70.0;Miastenia gravis
G701;G70.1;Transtornos mioneurais tóxicos
G702;G70.2;Miastenia congênita e do desenvolvimento
G708;G70.8;Outros transtornos mioneurais especificados
G709;G70.9;Transtorno mioneural não especificado
G710;G71.0;Distrofia muscular
G711;G71.1;Transtornos miotônicos
G712;G71.2;Miopatias congênitas
G713;G71.3;Miopatia mitocondrial não classificada em outra parte
G718;G71.8;Outros transtornos primários dos músculos
G719;G71.9;Transtorno muscular primário não especificado
